Change (1, 0) to 2
Change (2, 7) to 2
Change (7, 7) to 4
Change (7, 2) to 6
Change (5, 7) to 1
Change (6, 0) to 1
Change (5, 2) to 4
Change (4, 6) to 4
Change (3, 4) to 1
Change (7, 4) to 7
Change (4, 8) to 3
Change (5, 1) to 3
Change (2, 1) to 6
Change (2, 5) to 3
Change (2, 2) to 5
Change (3, 2) to 9
Change (0, 2) to 3
Change (7, 5) to 1
Change (3, 1) to 7
Change (8, 3) to 2
Change (5, 8) to 9
Change (8, 0) to 9
Change (8, 7) to 3
Change (1, 7) to 5
Change (6, 7) to 9
Change (6, 1) to 4
Change (8, 1) to 8
Change (8, 8) to 6
Change (0, 8) to 8
Change (7, 8) to 2
Change (3, 8) to 5
Change (3, 0) to 8
Change (3, 6) to 2
Change (7, 6) to 8
Change (0, 6) to 6
Change (1, 6) to 3
Change (0, 5) to 9
Change (0, 1) to 1
Change (1, 1) to 9
Change (1, 4) to 6
Change (1, 5) to 7
Change (4, 5) to 6
Change (4, 0) to 5
Change (5, 0) to 6
Change (4, 4) to 9
Change (4, 3) to 7
Change (1, 3) to 1
Change (5, 5) to 2
Change (5, 6) to 7
Change (6, 6) to 5
Change (0, 3) to 5
Change (5, 3) to 8
Change (2, 3) to 4
Change (6, 3) to 6
Change (6, 8) to 7
Change (2, 4) to 8
Change (5, 4) to 5
Change (6, 4) to 3
Change (8, 4) to 4
